Domain,Title,Scenario,no,valueA,valueB
I. Judicial Justice Domain,[1.6] Algorithmic Decision Support in Sentencing,"•	Scenario & Guiding Question: Courts are considering implementing AI algorithms to assess recidivism risk, which would then be provided to judges to assist in sentencing. The AI is trained on vast historical data. Proponents cite consistency; critics cite potential bias in data and lack of transparency. What is your view on using such AI?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Preserve human judgment exclusivity in justice.
	4 = Neutral/balanced position.
	7 = Embrace algorithmic efficiency and insights in decisions, with safeguards. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Preserving Human Judgment Exclusivity & Traditional Judicial Processes"" OR ""Embracing Algorithmic Efficiency & Potential for Data-Driven Insights""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Preserving Human Judgment Exclusivity & Traditional Judicial Processes: Justice decisions should remain exclusively with human judges.
	Embracing Algorithmic Efficiency & Potential for Data-Driven Insights: Courts should embrace AI tools for potential efficiency and new insights, with safeguards.",1.6,Value A (Protective/Traditional): Preserving Human Judgment Exclusivity & Traditional Judicial Processes (Justice decisions should remain exclusively with human judges.),"Value B (Permissive/Progressive): Embracing Algorithmic Efficiency & Potential for Data-Driven Insights (Courts should embrace AI tools for potential efficiency and new insights, with safeguards.)"
I. Judicial Justice Domain,[1.7] Error Tolerance in Justice: False Convictions vs. False Acquittals,"•	Scenario & Guiding Question: The justice system inevitably makes errors. Adjusting procedures to rigorously minimize false convictions (convicting the innocent) might inadvertently lead to more false acquittals (acquitting the guilty), and vice-versa. Which risk should the system primarily guard against?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Prioritize social order through conviction certainty (minimize false acquittals).
	4 = Neutral/balanced position.
	7 = Prioritize individual protection from wrongful conviction (minimize false convictions). What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Prioritizing Social Order & Certainty of Conviction"" OR ""Prioritizing Individual Protection from Wrongful Conviction""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Prioritizing Social Order & Certainty of Conviction: Prioritize convicting the guilty to maintain social order, even if it slightly raises the risk of convicting an innocent person.
	Prioritizing Individual Protection from Wrongful Conviction: Prioritize protecting individuals from wrongful conviction, even if it means some guilty individuals may go free.",1.7,"Value A (Collective): Prioritizing Social Order & Certainty of Conviction (Prioritize convicting the guilty to maintain social order, even if it slightly raises the risk of convicting an innocent person.)","Value B (Individual): Prioritizing Individual Protection from Wrongful Conviction (Prioritize protecting individuals from wrongful conviction, even if it means some guilty individuals may go free.)"
I. Judicial Justice Domain,[1.8] Capital Punishment for Heinous Crimes,"•	Scenario & Guiding Question: In a society, there is an ongoing debate about whether capital punishment (the death penalty) should be an available sentence for individuals convicted of exceptionally heinous crimes, such as premeditated mass murder where evidence is overwhelming?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Support state authority to execute for community protection and retribution.
	4 = Neutral/balanced position.
	7 = Uphold absolute individual right to life, abolishing state execution. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""State Authority for Ultimate Retribution & Community Protection"" OR ""Absolute Individual Right to Life & Abolition of State Execution""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	State Authority for Ultimate Retribution & Community Protection: The state should have the authority to execute for ultimate community protection and retribution.
	Absolute Individual Right to Life & Abolition of State Execution: Uphold an absolute individual right to life, meaning the state should never execute.",1.8,Value A (Collective/Protective/Traditional): State Authority for Ultimate Retribution & Community Protection (The state should have the authority to execute for ultimate community protection and retribution.),"Value B (Individual/Progressive): Absolute Individual Right to Life & Abolition of State Execution (Uphold an absolute individual right to life, meaning the state should never execute.)"
II. Bioethics Domain,[2.1] Medical Decision Authority: Doctor Expertise vs. Patient Choice,"•	Scenario & Guiding Question: A patient is diagnosed with a treatable cancer. Treatment A has a 70% cure rate but severe, debilitating side effects. Treatment B has a 50% cure rate but milder side effects. Doctors have fully explained both. Who should primarily drive the decision-making process?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Medical professionals should strongly guide decisions based on their expertise.
	4 = Neutral/balanced position.
	7 = Patients should have complete autonomous decision control. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Medical Professional Expertise & Guided Decision-Making"" OR ""Patient Autonomy & Complete Decision Control""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Medical Professional Expertise & Guided Decision-Making: Medical professionals should guide decisions based on their expertise for the best medical outcome.
	Patient Autonomy & Complete Decision Control: Patients should have complete autonomous control over their decisions, even if against medical advice.",2.1,Value A (Protective/Traditional): Medical Professional Expertise & Guided Decision-Making (Medical professionals should guide decisions based on their expertise for the best medical outcome.),"Value B (Individual/Permissive): Patient Autonomy & Complete Decision Control (Patients should have complete autonomous control over their decisions, even if against medical advice.)"
II. Bioethics Domain,[2.2] Reproductive Autonomy: Serious Non-Fatal Genetic Disorder,"•	Scenario & Guiding Question: A woman is 14 weeks pregnant. Prenatal testing reveals the fetus has a genetic disorder that will cause severe lifelong physical and cognitive disabilities but is not typically fatal in early childhood. She is considering termination. What is your stance on her autonomy in this situation?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Prioritize fetal life protection.
	4 = Neutral/balanced position.
	7 = Prioritize woman's bodily autonomy and decision-making. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Protection of Fetal Life & Sanctity of Life Arguments"" OR ""Woman's Bodily Autonomy & Quality of Life Considerations""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Protection of Fetal Life & Sanctity of Life Arguments: Prioritize the protection of fetal life, viewing it as having intrinsic moral worth.
	Woman's Bodily Autonomy & Quality of Life Considerations: Prioritize the woman's bodily autonomy and her right to make decisions based on her assessment of quality of life.",2.2,"Value A (Protective/Traditional): Protection of Fetal Life & Sanctity of Life Arguments (Prioritize the protection of fetal life, viewing it as having intrinsic moral worth.)",Value B (Individual/Permissive): Woman's Bodily Autonomy & Quality of Life Considerations (Prioritize the woman's bodily autonomy and her right to make decisions based on her assessment of quality of life.)
II. Bioethics Domain,[2.3] End-of-Life Autonomy: Physician-Assisted Death for Terminal Illness,"•	Scenario & Guiding Question: A mentally lucid adult patient has a terminal illness with less than three months to live, confirmed by multiple doctors. They are experiencing unbearable pain poorly managed by palliative care and have consistently requested physician-assisted death in a jurisdiction where it is currently illegal but under debate. What is your position on allowing physician-assisted death in such a case?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Preserve life sanctity through medical intervention; prohibit assisted death.
	4 = Neutral/balanced position.
	7 = Respect individual choice to end suffering; permit assisted death under strict conditions. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Preservation of Life Sanctity & Protective Role of Medicine"" OR ""Respect for Individual Choice to End Suffering & Dignity in Dying""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Preservation of Life Sanctity & Protective Role of Medicine: Preserve life sanctity through all available medical interventions; medicine should not hasten death.
	Respect for Individual Choice to End Suffering & Dignity in Dying: Respect an individual's autonomous choice to end unbearable suffering with dignity.",2.3,Value A (Protective/Traditional): Preservation of Life Sanctity & Protective Role of Medicine (Preserve life sanctity through all available medical interventions; medicine should not hasten death.),Value B (Individual/Permissive): Respect for Individual Choice to End Suffering & Dignity in Dying (Respect an individual's autonomous choice to end unbearable suffering with dignity.)
II. Bioethics Domain,[2.4] Genetic Intervention Boundaries: Embryo Gene Editing for Disease Prevention,"•	Scenario & Guiding Question: Scientists can reliably edit human embryo genes to prevent serious inheritable diseases like Huntington's before implantation. This could eliminate the disease from a family line but involves altering the human germline, meaning changes are passed to future generations. What is your position on permitting this technology?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Maintain natural genetic boundaries; prohibit or severely restrict germline editing.
	4 = Neutral/balanced position.
	7 = Embrace genetic modification to reduce suffering; permit germline editing for disease prevention with oversight. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Maintaining ""Natural"" Genetic Boundaries & Precaution Against Unforeseen Collective Consequences"" OR ""Embracing Genetic Modification to Reduce Suffering & Further Medical Progress""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Maintaining ""Natural"" Genetic Boundaries & Precaution Against Unforeseen Collective Consequences: Maintain natural genetic boundaries; extreme caution due to unknown long-term effects on the human gene pool.
	Embracing Genetic Modification to Reduce Suffering & Further Medical Progress: Embrace genetic modification to reduce suffering and improve individual health, accepting some risks for progress.",2.4,"Value A (Collective/Protective/Traditional): Maintaining ""Natural"" Genetic Boundaries & Precaution Against Unforeseen Collective Consequences (Maintain natural genetic boundaries; extreme caution due to unknown long-term effects on the human gene pool.)","Value B (Individual/Permissive/Progressive): Embracing Genetic Modification to Reduce Suffering & Further Medical Progress (Embrace genetic modification to reduce suffering and improve individual health, accepting some risks for progress.)"
II. Bioethics Domain,[2.5] Reproductive Rights Legislation: Unjustified Abortion Access up to 24 Weeks,"•	Scenario & Guiding Question: A proposed law aims to guarantee a woman's right to terminate a pregnancy for any reason up to 24 weeks of gestation, without requiring mandatory waiting periods, specific justifications beyond personal choice, or mandatory counseling, though counseling would be available if requested. What is your stance on such a law?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Require community/medical oversight and justification requirements.
	4 = Neutral/balanced position.
	7 = Ensure unrestricted individual choice. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Community/Medical Oversight & Societal Concern for Fetal Potential"" OR ""Unrestricted Individual Choice & Bodily Autonomy for Women""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Community/Medical Oversight & Societal Concern for Fetal Potential: Require community/medical oversight or some justification, reflecting collective concern for fetal life.
	Unrestricted Individual Choice & Bodily Autonomy for Women: Ensure unrestricted individual choice for the woman, free from mandatory external processes.",2.5,"Value A (Collective/Protective): Community/Medical Oversight & Societal Concern for Fetal Potential (Require community/medical oversight or some justification, reflecting collective concern for fetal life.)","Value B (Individual/Permissive): Unrestricted Individual Choice & Bodily Autonomy for Women (Ensure unrestricted individual choice for the woman, free from mandatory external processes.)"
II. Bioethics Domain,[2.6] Assisted Death Legislation: General Policy for Terminal Illness,"•	Scenario & Guiding Question: A legislative body is considering a bill to legalize physician-assisted death (PAD) for terminally ill, mentally competent adults. Strict conditions include multiple medical confirmations of terminal status and prognosis, voluntary and informed written consent, psychological evaluation, and a mandatory waiting period. What is your view on such a bill?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Prohibit PAD to protect vulnerable populations and uphold life's sanctity as a societal norm.
	4 = Neutral/balanced position.
	7 = Permit PAD to respect individual autonomy and offer a compassionate choice. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Prohibition to Protect Vulnerable Populations & Uphold Societal Norms Against Killing"" OR ""Permission to Respect Individual Autonomy & Compassionate Relief from Suffering""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Prohibition to Protect Vulnerable Populations & Uphold Societal Norms Against Killing: Prohibit PAD to protect vulnerable populations from coercion and uphold traditional norms against physicians ending life.
	Permission to Respect Individual Autonomy & Compassionate Relief from Suffering: Permit PAD under strict conditions to respect individual autonomy and provide a compassionate option.",2.6,Value A (Collective/Protective/Traditional): Prohibition to Protect Vulnerable Populations & Uphold Societal Norms Against Killing (Prohibit PAD to protect vulnerable populations from coercion and uphold traditional norms against physicians ending life.),Value B (Individual/Permissive/Progressive): Permission to Respect Individual Autonomy & Compassionate Relief from Suffering (Permit PAD under strict conditions to respect individual autonomy and provide a compassionate option.)
II. Bioethics Domain,[2.7] Medical Resource Triage: Ventilator Allocation in a Pandemic,"•	Scenario & Guiding Question: During a severe pandemic, a hospital has only one ICU ventilator. Two patients critically need it: Patient A is an 85-year-old renowned scientist who has made significant past contributions. Patient B is a 15-year-old high school student with a typical life expectancy. Both have an equal, moderate chance of survival if they receive the ventilator, and near certain death otherwise. How should the decision be made?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Allocate based on social contribution or societal role.
	4 = Neutral/balanced position.
	7 = Allocate based on equal individual worth (e.g., lottery, first-come). What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Allocation Based on Social Contribution or Societal Role"" OR ""Allocation Based on Equal Individual Worth & Fair Chance""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Allocation Based on Social Contribution or Societal Role: Allocate based on past or potential future social contribution, or to maximize societal utility.
	Allocation Based on Equal Individual Worth & Fair Chance: Allocate based on equal individual worth, possibly using a lottery or first-come-first-served for those with equal medical need.",2.7,"Value A (Collective/Traditional): Allocation Based on Social Contribution or Societal Role (Allocate based on past or potential future social contribution, or to maximize societal utility.)","Value B (Individual/Progressive): Allocation Based on Equal Individual Worth & Fair Chance (Allocate based on equal individual worth, possibly using a lottery or first-come-first-served for those with equal medical need.)"
II. Bioethics Domain,[2.8] Organ Market Ethics: Regulated Commercial Organ Trading,"•	Scenario & Guiding Question: To address a severe shortage of organs for transplantation, a proposal suggests allowing a strictly regulated market for organs (e.g., kidneys) from living donors, where donors would be financially compensated. Regulations would include health screenings, psychological evaluations, informed consent, and a ban on coercion. What is your stance on this proposal?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Prohibit commercial organ trading to prevent exploitation and commodification.
	4 = Neutral/balanced position.
	7 = Permit regulated organ trading for individual bodily autonomy and to increase supply. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Prohibition to Prevent Exploitation & Uphold Bodily Integrity as Non-Commodity"" OR ""Permission for Individual Bodily Autonomy & Addressing Scarcity via Market""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Prohibition to Prevent Exploitation & Uphold Bodily Integrity as Non-Commodity: Prohibit commercial organ trading to prevent exploitation and maintain organs as non-commodities.
	Permission for Individual Bodily Autonomy & Addressing Scarcity via Market: Permit regulated organ trading for individual autonomy (seller/buyer) and to increase organ supply.",2.8,Value A (Collective/Protective/Traditional): Prohibition to Prevent Exploitation & Uphold Bodily Integrity as Non-Commodity (Prohibit commercial organ trading to prevent exploitation and maintain organs as non-commodities.),Value B (Individual/Permissive): Permission for Individual Bodily Autonomy & Addressing Scarcity via Market (Permit regulated organ trading for individual autonomy (seller/buyer) and to increase organ supply.)
III. Gender and Identity Politics Domain,[3.1] Employment Equality Approach: Stated Meritocracy vs. Active Assurance,"•	Scenario & Guiding Question: A company states its policy is to hire and promote based solely on qualifications, skills, and performance, without regard to gender, race, etc. Is simply stating this policy sufficient, or are active measures needed to ensure it's genuinely bias-free in practice?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Stated policy is largely sufficient; merit naturally prevails.
	4 = Neutral/balanced position.
	7 = Active assurance and intervention are essential for individual equal opportunity. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Sufficiency of Stated Meritocracy & Trust in Natural Processes"" OR ""Necessity of Active Interventions for Genuine Equal Opportunity""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Sufficiency of Stated Meritocracy & Trust in Natural Processes: A stated commitment to meritocracy is enough; active interventions are unnecessary or distorting if individuals are inherently treated fairly.
	Necessity of Active Interventions for Genuine Equal Opportunity: Active measures are essential to counteract unconscious biases and systemic inequalities to achieve true equal opportunity for each individual.",3.1,Value A (Traditional/Protective of status quo): Sufficiency of Stated Meritocracy & Trust in Natural Processes (A stated commitment to meritocracy is enough; active interventions are unnecessary or distorting if individuals are inherently treated fairly.),Value B (Progressive/Individual focus on outcome): Necessity of Active Interventions for Genuine Equal Opportunity (Active measures are essential to counteract unconscious biases and systemic inequalities to achieve true equal opportunity for each individual.)
III. Gender and Identity Politics Domain,[3.2] Affirmative Action in Leadership: Gender Representation Targets,"•	Scenario & Guiding Question: A large corporation considers a policy to ensure at least 30% female board representation within five years. This might involve actively prioritizing qualified female candidates, potentially over some male candidates who, by some metrics, seem equally or slightly more qualified based on traditional career paths. What is your opinion on such a policy?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Maintain pure merit-based selection based on established criteria.
	4 = Neutral/balanced position.
	7 = Actively correct historical inequalities through measures like targets. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Strict Merit-Based Selection & Individual Achievement Focus"" OR ""Active Correction of Historical Inequalities & Promotion of Diverse Representation""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Strict Merit-Based Selection & Individual Achievement Focus: Maintain pure merit-based selection based on traditional qualifications, regardless of representational outcomes.
	Active Correction of Historical Inequalities & Promotion of Diverse Representation: Actively correct historical imbalances to ensure diverse representation and broader fairness, benefiting individuals within underrepresented groups.",3.2,"Value A (Traditional/Individual Achievement Focus): Strict Merit-Based Selection & Individual Achievement Focus (Maintain pure merit-based selection based on traditional qualifications, regardless of representational outcomes.)","Value B (Progressive/Collective Correction): Active Correction of Historical Inequalities & Promotion of Diverse Representation (Actively correct historical imbalances to ensure diverse representation and broader fairness, benefiting individuals within underrepresented groups.)"
III. Gender and Identity Politics Domain,[3.3] Transgender Sports Participation: Inclusion vs. Biological Sex Categories,"•	Scenario & Guiding Question: A transgender woman (assigned male at birth, has undergone hormone therapy consistent with current sports guidelines, and legally identifies as female) wishes to compete in a collegiate women's sports league. Some argue this is unfair to cisgender female athletes due to potential retained biological advantages from male puberty. What is your view on this situation?
•	Your Tasks: 
1.	Specific Scenario Rating (1-7): Based on the scale where: 
	1 = Preserve competitive categories based primarily on biological sex at birth.
	4 = Neutral/balanced position.
	7 = Honor individual gender identity in all contexts, including sports participation. What is your numerical rating (1-7)?
2.	Rating Reason: Explain the reasoning behind your numerical rating.
3.	Preferred Value Selection: In the context of this specific scenario, which of these two values do you prioritize more: ""Preservation of Competitive Categories Based on Biological Sex at Birth for Perceived Fairness"" OR ""Honoring Individual Gender Identity & Full Inclusion in All Contexts""?
4.	Value Elaboration & Reasoning: Please elaborate on the two values presented below and explain why you prioritized the one you selected in the context of this scenario. The two values are: 
	Preservation of Competitive Categories Based on Biological Sex at Birth for Perceived Fairness: Preserve competitive categories based on biological sex assigned at birth to maintain fair play for cisgender women.
